distance	patristic
461.5418422	0.415135923
737.6658892	0.420940155
0	0.415833427
0	0.408747852
260.4803088	0.408766976
260.4803088	0.408766976
1078.673475	0.400917738
1078.673475	0.406632014
537.9579503	0.399514628
537.9579503	0.405938368
1183.263018	0.401662206
537.9579503	0.402858687
1078.673475	0.417973478
537.9579503	0.409942526
4772.254121	0.401659473
4772.254121	0.400262135
1078.673475	0.406315996
4772.254121	0.418927788
4772.254121	0.41967623
4772.254121	0.418979897
537.9579503	0.39164777
537.9579503	0.391652679
537.9579503	0.390957202
537.9579503	0.390248585
537.9579503	0.406476626
330.2182276	0.415839257
1078.673475	0.416418771
1078.673475	0.414206933
537.9579503	0.412059802
537.9579503	0.412760219
537.9579503	0.413455765
1078.673475	0.413447077
537.9579503	0.417718836
1078.673475	0.414148314
1078.673475	0.414860271
537.9579503	0.398029933
537.9579503	0.396637907
537.9579503	0.397332799
537.9579503	0.382278288
537.9579503	0.393117372
1078.673475	0.398552558
537.9579503	0.3957666
537.9579503	0.39133946
537.9579503	0.402185464
537.9579503	0.401494163
537.9579503	0.401494163
537.9579503	0.401447641
537.9579503	0.401680543
1078.673475	0.407311958
1078.673475	0.406618809
1078.673475	0.407315633
1078.673475	0.405885711
537.9579503	0.408783902
1183.263018	0.406731684
1183.263018	0.408211106
1183.263018	0.409611017
1078.673475	0.4141755
537.9579503	0.409142651
537.9579503	0.409142651
1078.673475	0.407390804
1078.673475	0.406704083
1078.673475	0.406704083
1078.673475	0.406704083
1078.673475	0.406704083
1078.673475	0.408090105
1078.673475	0.406692344
461.5418422	0.423573172
4772.254121	0.414888219
4772.254121	0.415171428
4772.254121	0.415869058
4772.254121	0.413763641
461.5418422	0.419578675
330.2182276	0.418034563
461.5418422	0.418730483
461.5418422	0.42015271
0	0.419443749
0	0.4345364
461.5418422	0.416611627
330.2182276	0.418112921
1078.673475	0.410869231
537.9579503	0.414607423
537.9579503	0.413915869
537.9579503	0.413915869
537.9579503	0.41672896
537.9579503	0.415323069
1078.673475	0.415321908
1078.673475	0.397040819
1078.673475	0.397040819
1078.673475	0.394865983
1078.673475	0.396997661
1078.673475	0.396305897
1078.673475	0.396310872
1078.673475	0.396310872
1078.673475	0.397696915
461.5418422	0.402342652
461.5418422	0.401353813
461.5418422	0.402759142
461.5418422	0.404193138
461.5418422	0.404193138
461.5418422	0.404188163
537.9579503	0.398431611
513.7959706	0.399871069
1078.673475	0.397002521
1078.673475	0.398411619
537.9579503	0.402218483
537.9579503	0.402218483
537.9579503	0.402213508
0	0.404960723
0	0.404285933
537.9579503	0.410043677
330.2182276	0.401987496
0	0.401257467
0	0.401245849
461.5418422	0.399833911
461.5418422	0.401352917
461.5418422	0.401962277
461.5418422	0.400546047
461.5418422	0.400546047
461.5418422	0.399847751
461.5418422	0.401253718
461.5418422	0.400549409
388.377536	0.400535832
537.9579503	0.397095932
537.9579503	0.396409015
537.9579503	0.396409015
537.9579503	0.39640404
537.9579503	0.395009326
537.9579503	0.390767126
537.9579503	0.39007054
537.9579503	0.390810488
537.9579503	0.392082426
537.9579503	0.389944715
537.9579503	0.388535816
537.9579503	0.388535838
537.9579503	0.395710187
537.9579503	0.391366121
537.9579503	0.403108987
537.9579503	0.389945998
537.9579503	0.392081967
537.9579503	0.390654414
537.9579503	0.390654414
537.9579503	0.406776517
537.9579503	0.393478283
537.9579503	0.393478283
537.9579503	0.391351863
537.9579503	0.395639665
537.9579503	0.413753769
1078.673475	0.416603618
537.9579503	0.41516411
537.9579503	0.41446443
1078.673475	0.415873597
537.9579503	0.415875345
537.9579503	0.414489292
537.9579503	0.414489292
537.9579503	0.414484317
537.9579503	0.414479341
537.9579503	0.3934835
1078.673475	0.411012073
1078.673475	0.411012073
537.9579503	0.406503523
537.9579503	0.405794574
461.5418422	0.417129833
537.9579503	0.416575281
537.9579503	0.416575281
0	0.427773746
330.2182276	0.424288348
537.9579503	0.418957195
537.9579503	0.418957195
461.5418422	0.418957493
1078.673475	0.420973615
1078.673475	0.41815767
1078.673475	0.417456379
1078.673475	0.419565911
1078.673475	0.418874209
1078.673475	0.419575816
1078.673475	0.419575816
461.5418422	0.428987282
0	0.428282996
0	0.430420127
737.6658892	0.427591967
737.6658892	0.43120555
388.377536	0.427590025
388.377536	0.426898283
461.5418422	0.430439761
0	0.429722874
0	0.429768268
461.5418422	0.433298477
0	0.431207625
330.2182276	0.427599651
0	0.431206585
737.6658892	0.42904276
1078.673475	0.417369967
1078.673475	0.418078932
1078.673475	0.416683517
1078.673475	0.416683517
1078.673475	0.418826998
1078.673475	0.415294629
0	0.417465419
0	0.417470394
0	0.417470394
0	0.418926862
0	0.42399737
737.6658892	0.427349358
737.6658892	0.426171477
461.5418422	0.426238897
330.2182276	0.424605336
737.6658892	0.424605336
737.6658892	0.431883996
737.6658892	0.429509499
0	0.432365398
737.6658892	0.43497836
461.5418422	0.434076196
737.6658892	0.433355104
737.6658892	0.434056547
0	0.427340118
260.4803088	0.428782545
461.5418422	0.428771902
0	0.425237396
0	0.418142136
0	0.416740866
330.2182276	0.413102345
461.5418422	0.413820627
1078.673475	0.417461041
1078.673475	0.416764342
537.9579503	0.407334321
537.9579503	0.405234933
537.9579503	0.405234933
537.9579503	0.405229957
1078.673475	0.42523125
537.9579503	0.412006094
388.377536	0.433250051
0	0.432522168
0	0.432522168
461.5418422	0.433880147
461.5418422	0.433877407
461.5418422	0.433186263
461.5418422	0.433186263
537.9579503	0.432475139
461.5418422	0.436002932
461.5418422	0.436716397
461.5418422	0.435281076
0	0.435302617
737.6658892	0.431258087
1078.673475	0.428732914
1078.673475	0.428037851
4772.254121	0.408332896
4772.254121	0.407654639
4772.254121	0.40765425
461.5418422	0.430032675
0	0.429320421
537.9579503	0.423869749
1183.263018	0.429779035
1183.263018	0.429083132
537.9579503	0.410664548
537.9579503	0.419775874
1078.673475	0.418982111
537.9579503	0.425396868
537.9579503	0.423646724
537.9579503	0.423646724
1078.673475	0.416109346
537.9579503	0.41741132
537.9579503	0.416715575
461.5418422	0.432607674
461.5418422	0.426208793
260.4803088	0.430148735
260.4803088	0.430148735
260.4803088	0.430148735
260.4803088	0.430148735
4772.254121	0.409051869
4772.254121	0.409856666
4772.254121	0.410551878
537.9579503	0.409874091
537.9579503	0.41730212
1078.673475	0.42478329
1078.673475	0.42478329
1078.673475	0.428847944
1078.673475	0.428847944
537.9579503	0.422850267
1078.673475	0.408539319
537.9579503	0.409445905
537.9579503	0.407340437
537.9579503	0.383354689
537.9579503	0.390689652
537.9579503	0.390689652
537.9579503	0.404921546
537.9579503	0.403717202
537.9579503	0.402299747
537.9579503	0.402299747
537.9579503	0.404965134
537.9579503	0.397076043
537.9579503	0.397100355
537.9579503	0.396439565
537.9579503	0.405869658
537.9579503	0.400780566
537.9579503	0.39360169
537.9579503	0.398595717
537.9579503	0.39740464
537.9579503	0.395998665
537.9579503	0.395998665
537.9579503	0.397407648
537.9579503	0.398115909
537.9579503	0.394167304
